TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
18417033433679,17718,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
18417034293328,17718,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
18417034914332,17718,0,0,0,0,0,0,0,/usr/lib/
18417035489720,17737,0,0,0,0,0,0,0,malware/713b699c04f21000fca981e698e1046d4595f423bd5741d712fd7e0
18417041633184,13937,0,0,0,0,0,0,0,/proc/14002/cmdline
18417041676883,13937,0,0,0,0,0,0,0,/proc/17714/cmdline
18417042694450,17718,0,0,0,0,0,0,0,/usr/lib/notification-daemon
18417043714097,17718,0,0,0,0,0,0,0,/usr/lib/debian-med
18417044382151,17718,0,0,0,0,0,0,0,/usr/lib/debian-med/bin
18417044681524,17737,0,0,0,0,0,0,0,malware/8b57e96e90cd95fc2ba421204b482005fe41c28f506730b6148bcef
18417044839263,17718,0,0,0,0,0,0,0,/usr/lib/debian-med/share
18417044846549,17737,0,0,0,0,0,0,0,malware/8b57e96e90cd95fc2ba421204b482005fe41c28f506730b6148bcef
18417044993888,17737,0,0,0,0,0,0,0,malware/96339a7e87ffce6ced247feb9b4cb7c05b83ca315976a9522155bad
18417045711808,17718,0,0,0,0,0,0,0,/usr/lib/debian-med/share/man
18417045787541,17737,0,0,0,0,0,0,0,malware/998347d4ba21661688169337ca4ea2a6118c2fad2005d39d8bf46c0
18417046191762,17718,0,0,0,0,0,0,0,/usr/lib/debian-med/share/man/man1
18417047624184,17718,0,0,0,0,0,0,0,/usr/lib/snap
18417048105520,17718,0,0,0,0,0,0,0,/usr/lib/gnome-settings-daemon-3.0
18417049089910,17718,0,0,0,0,0,0,0,/usr/lib/gnome-settings-daemon-3.0/gtk-modules
18417049588396,17718,0,0,0,0,0,0,0,/usr/lib/mysql
18417050212453,17718,0,0,0,0,0,0,0,/usr/lib/mysql/plugin
18417050463101,17718,0,0,0,0,0,0,0,/usr/lib/mysql/plugin/auth_pam_tool_dir
18417050739541,17718,0,0,0,0,0,0,0,/usr/lib/dpkg
18417051010315,17718,0,0,0,0,0,0,0,/usr/lib/dpkg/methods
18417051240598,17718,0,0,0,0,0,0,0,/usr/lib/dpkg/methods/apt
18417051747387,17718,0,0,0,0,0,0,0,/usr/lib/gnome-session
18417053126772,17718,0,0,0,0,0,0,0,/usr/lib/firewalld
18417053361989,17718,0,0,0,0,0,0,0,/usr/lib/firewalld/zones
18417053554720,17718,0,0,0,0,0,0,0,/usr/lib/modules
18417053780635,17718,0,0,0,0,0,0,0,/usr/lib/modules/5.10.0-18-amd64
18417054687059,17718,0,0,0,0,0,0,0,/usr/lib/modules/5.10.0-18-amd64/kernel
18417055214044,17718,0,0,0,0,0,0,0,/usr/lib/modules/5.10.0-18-amd64/kernel/fs
